timestamp,eci,pci,earfcn,tac,mcc,mnc,rsrp,rsrq,rssnr,cqi,latitude,longitude,altitude,gps_accuracy,speed,bearing,distance_from_bs
1788411289781,4099850241,6,504990,2097215,460,0,-77,-11,18,-1,39.89296662,116.34377362,43.466552734375,3.7900925,1.05,357.2,
1788411288035,4099850241,6,504990,2097215,460,0,-77,-11,18,-1,39.8929568,116.34377314,43.531005859375,3.7900925,1.09,352.3,
1788411287770,5832896513,429,504990,2097215,460,0,-90,-13,3,-1,39.89294697,116.34377235,43.5184326171875,3.7900925,1.1,358.7,
1788411285033,5832896513,429,504990,2097215,460,0,-90,-13,3,-1,39.89292706,116.34376559,43.58856201171875,3.7900925,1.1,359.1,
1788411283012,5832896513,429,504990,2097215,460,0,-90,-13,3,-1,39.89289564,116.34374672,44.3780517578125,3.7900925,1.09,29.5,
1788411280981,5832896513,429,504990,2097215,460,0,-90,-13,3,-1,39.89287672,116.34371703,44.56268310546875,3.7900925,1.18,55.3,
1788411278961,5832896513,429,504990,2097215,460,0,-90,-13,3,-1,39.89286621,116.34368266,44.92864990234375,3.7900925,1.12,85.7,
1788411277961,5832896513,429,504990,2097215,460,0,-90,-13,3,-1,39.89286621,116.34368266,44.92864990234375,3.7900925,1.12,85.7,
1788411276181,4096999427,195,504990,2097215,460,0,-90,-14,-1,-1,39.89286359,116.34365262,45.220947265625,3.7900925,1.1,86.4,
1788411274160,4096999427,195,504990,2097215,460,0,-90,-14,-1,-1,39.89286239,116.34362559,45.00408935546875,3.7900925,1.15,89.6,
1788411272144,4096999427,195,504990,2097215,460,0,-90,-14,-1,-1,39.8928596,116.34359729,44.7813720703125,3.7900925,1.16,75.0,
1788411269967,4096999427,195,504990,2097215,460,0,-90,-14,-1,-1,39.89285027,116.34355638,44.63543701171875,3.7900925,1.19,77.0,
1788411267543,4096999427,195,504990,2097215,460,0,-90,-14,-1,-1,39.8928449,116.34352755,44.681396484375,3.7900925,1.09,74.2,
1788411266842,4096999427,195,504990,2097215,460,0,-90,-14,-1,-1,39.8928449,116.34352755,44.681396484375,3.7900925,1.09,74.2,
1788411265448,4097097730,199,504990,2097215,460,0,-90,-13,10,-1,39.89283808,116.34349868,44.47259521484375,3.7900925,1.14,80.7,
1788411263439,4097097730,199,504990,2097215,460,0,-90,-13,10,-1,39.89283176,116.34346556,44.71685791015625,3.7900925,1.12,90.3,
1788411261109,4097097730,199,504990,2097215,460,0,-90,-13,10,-1,39.89282768,116.34342962,44.66571044921875,4.2494817,1.25,88.9,
1788411259100,4097097730,199,504990,2097215,460,0,-90,-13,10,-1,39.89282398,116.34339798,44.39764404296875,5.444429,1.13,89.3,
1788411256891,4097097730,199,504990,2097215,460,0,-90,-13,10,-1,39.89282349,116.34336014,43.7274169921875,4.9985833,1.06,85.2,
1788411255984,4097097730,199,504990,2097215,460,0,-90,-13,10,-1,39.89282349,116.34336014,43.7274169921875,4.9985833,1.06,85.2,
1788411253952,4096999427,195,504990,2097215,460,0,-92,-14,2,-1,39.89282182,116.34333587,43.232666015625,4.772508,1.08,89.0,
1788411250877,4096999427,195,504990,2097215,460,0,-92,-14,2,-1,39.89282336,116.34329745,42.50286865234375,4.1812735,1.04,95.6,
1788411248866,4096999427,195,504990,2097215,460,0,-92,-14,2,-1,39.89282181,116.34325757,41.87255859375,3.9079387,1.1,89.0,
1788411246772,4096999427,195,504990,2097215,460,0,-92,-14,2,-1,39.89282129,116.34323228,41.5687255859375,3.7900925,1.08,90.0,
1788411244876,4096999427,195,504990,2097215,460,0,-92,-14,2,-1,39.89282078,116.34321933,41.48785400390625,3.7900925,1.1,83.8,
1788411244407,4096999427,195,504990,2097215,460,0,-83,-11,10,-1,39.89281899,116.34320504,41.65533447265625,3.7900925,1.05,87.7,
1788411242393,4096999427,195,504990,2097215,460,0,-83,-11,10,-1,39.8928177,116.34317982,42.029296875,3.7900925,1.05,88.4,
1788411240379,4096999427,195,504990,2097215,460,0,-83,-11,10,-1,39.89281643,116.34315483,42.06561279296875,3.7900925,1.08,80.2,
1788411238356,4096999427,195,504990,2097215,460,0,-83,-11,10,-1,39.89281474,116.34312899,42.10516357421875,3.7900925,1.11,88.5,
1788411236341,4096999427,195,504990,2097215,460,0,-83,-11,10,-1,39.89281267,116.34310325,41.57171630859375,3.7900925,1.09,87.6,
1788411234840,4096999427,195,504990,2097215,460,0,-83,-11,10,-1,39.89281267,116.34309046,41.51898193359375,3.7900925,1.07,88.0,
